planet_name,host_star_id,mission,disposition,orbital_period_days,transit_epoch_bjd,transit_duration_hours,transit_depth_ppm,planet_radius_re,planet_mass_me,equilibrium_temp_k,insolation_flux,eccentricity,inclination_deg,impact_parameter,stellar_teff_k,stellar_radius_rsun,stellar_radius_normal,stellar_mass_msun,mass_rad_ratio,stellar_metallicity,stellar_logg,acc_grav_stellar_surface,ra,dec,tic_id
Kepler-466 c,10984090,Kepler,CONFIRMED,3.709214104,133.98318,2.6302,131,1.16,,1206,500.46,,,0.051,5833,1.022,711005400,1.93473E+30,2.72112E+21,,4.407,255.2701303,295.64871,48.49556,
K00742.01,10419211,Kepler,FALSE POSITIVE,11.52144606,170.839688,3.6399,18000,150.51,,753,75.88,,,2.483,5795,0.848,589953600,1.86857E+30,3.16732E+21,,4.554,358.0964371,297.07993,47.597401,
K00743.01,10464078,Kepler,FALSE POSITIVE,19.40393776,172.484253,12.2155,8920,7.18,,523,17.69,,,0.804,5043,0.68,473076000,1.30839E+30,2.7657E+21,,4.591,389.9419867,289.25821,47.635319,
K00744.01,10480982,Kepler,FALSE POSITIVE,19.22138894,184.5521637,4.79843,74300,49.29,,698,55.97,,,1.065,6117,0.947,658827900,2.039E+30,3.0949E+21,,4.496,313.3285724,295.81454,47.69035,
K00745.01,10485250,Kepler,FALSE POSITIVE,16.46983774,180.881761,9.4378,10500,7.94,,595,29.61,,,0.292,5152,0.786,546820200,1.47422E+30,2.69599E+21,,4.517,328.8516309,297.15442,47.668701,
Kepler-660 b,10526549,Kepler,CONFIRMED,9.27358173,173.258155,3.2875,1290,2.47,,649,41.85,,,0.387,4856,0.696,484207200,1.34566E+30,2.77911E+21,,4.583,382.8247433,288.13824,47.724449,
Kepler-661 b,10583066,Kepler,CONFIRMED,6.02930329,171.602959,1.5821,1910,2.85,,678,50.04,,,0.258,4537,0.672,467510400,1.45699E+30,3.11649E+21,,4.648,444.6312675,283.71088,47.86327,
K00748.01,10583180,Kepler,FALSE POSITIVE,2.696370652,170.73769,3.6129,398,1.58,,1066,305.34,,,0.044,4989,0.819,569778300,1.55341E+30,2.72634E+21,,4.504,319.1537855,283.76547,47.804298,
Kepler-226 c,10601284,Kepler,CONFIRMED,5.349553819,171.80694,3.0278,831,2.55,,919,168.99,,,0.092,5185,0.91,633087000,1.65501E+30,2.61419E+21,,4.44,275.4228703,292.37613,47.880989,
Kepler-226 b,10601284,Kepler,CONFIRMED,3.94105221,136.08662,2.5984,363,1.7,,1018,253.15,,,0.226,5185,0.91,633087000,1.65501E+30,2.61419E+21,,4.44,275.4228703,292.37613,47.880989,
Kepler-226 d,10601284,Kepler,CONFIRMED,8.10904807,132.8031,3.596,217,1.3,,800,97.03,,,0.025,5185,0.91,633087000,1.65501E+30,2.61419E+21,,4.44,275.4228703,292.37613,47.880989,
K00113.01,2306756,Kepler,FALSE POSITIVE,386.6030528,166.342079,6.8057,24900,41.5,,297,1.84,,,0.9765,5543,1.58,1099206000,2.18289E+30,1.98588E+21,,4.081,120.503594,292.27374,37.671558,
Kepler-662 b,10662202,Kepler,CONFIRMED,21.67699193,171.53594,3.4555,857,2.95,,530,18.64,,,0.896,4954,0.828,576039600,1.57318E+30,2.73103E+21,,4.5,316.227766,290.46512,47.92918,
Kepler-663 b,10682541,Kepler,CONFIRMED,4.99677968,171.74208,2.1717,935,2.78,,917,166.95,,,0.71,5339,0.847,589257900,1.8556E+30,3.14905E+21,,4.552,356.4511334,297.80826,47.946671,
Kepler-671 b,11460018,Kepler,CONFIRMED,4.280963604,171.89659,2.875,751,2.3,,1012,247.87,,,0.424,5644,0.831,578126700,1.8362E+30,3.17612E+21,,4.564,366.4375746,294.26581,49.314091,
K00770.01,11463211,Kepler,FALSE POSITIVE,1.50635409,170.998064,1.5155,2210,4.53,,1452,1054.12,,,0.86,5714,0.831,578126700,1.83198E+30,3.16882E+21,,4.563,365.5947916,295.66522,49.351009,
K00771.01,11465813,Kepler,FALSE POSITIVE,670.645531,209.04355,53.412,18100,14.14,,196,0.35,,,0.701,5520,0.983,683873100,2.05034E+30,2.99812E+21,,4.466,292.4152378,296.69861,49.316479,
K00772.01,11493732,Kepler,FALSE POSITIVE,61.2563628,173.83826,7.633,5120,39.87,,505,15.43,,,1.248,6144,1.091,759008700,2.17955E+30,2.87158E+21,,4.402,252.3480772,283.72592,49.479519,
Kepler-672 b,11507101,Kepler,CONFIRMED,38.3775486,172.82048,5.588,724,2.82,,529,18.53,,,0.468,5481,1.036,,,,,4.369,233.8837239,291.72202,49.480869,
Kepler-229 d,10910878,Kepler,CONFIRMED,41.19725502,165.00404,4.6297,2210,3.86,,439,8.76,,,0.045,5031,0.848,,,,,4.485,305.4921113,286.99948,48.37579,
Kepler-229 b,10910878,Kepler,CONFIRMED,6.252962249,171.30126,2.5819,1040,2.65,,823,108.3,,,0.105,5031,0.848,,,,,4.485,305.4921113,286.99948,48.37579,
Kepler-665 b,10987985,Kepler,CONFIRMED,16.01308419,176.3608,3.2554,1120,3.1,,593,29.31,,,0.799,5015,0.826,,,,,4.499,315.5004623,297.02563,48.478588,
Kepler-230 b,11018648,Kepler,CONFIRMED,32.62876672,194.1019,4.7971,1800,3.36,,506,15.55,,,0.021,5586,0.798,,,,,4.56,363.0780548,285.71854,48.505859,
Kepler-230 c,11018648,Kepler,CONFIRMED,91.7732862,193.8378,6.473,652,2.12,,359,3.92,,,0.606,5586,0.798,,,,,4.56,363.0780548,285.71854,48.505859,
Kepler-1976 b,11138155,Kepler,CONFIRMED,4.959319244,172.2585292,2.22739,9800,12.21,,1103,349.4,,,0.831,5712,1.082,,,,,4.359,228.5598803,292.16705,48.727589,
K00761.01,11152159,Kepler,FALSE POSITIVE,2.701287801,170.69579,3.3827,860,6.54,,1222,527.81,,,1.016,5550,0.91,,,,,4.468,293.7649652,297.92365,48.777321,
Kepler-666 b,11153539,Kepler,CONFIRMED,4.49876511,171.34905,3.7362,460,2.1,,1133,389.62,,,0.312,6075,0.969,,,,,4.486,306.1963434,298.45685,48.791592,
K00763.01,11242721,Kepler,FALSE POSITIVE,19.65120951,179.401981,5.2514,11800,12.42,,730,67.03,,,0.723,6074,1.063,,,,,4.391,246.0367604,291.0939,48.933842,
Kepler-105 b,9579641,Kepler,CONFIRMED,5.412203927,133.143089,2.9472,602,2.94,,1093,337.68,,,0.787,5779,1.087,,,,,4.339,218.2729912,287.88733,46.276241,
Kepler-667 b,11304958,Kepler,CONFIRMED,41.43958662,208.93203,10.5989,2790,5.5,,516,16.72,,,0.355,5468,1.046,,,,,4.367,232.8091258,295.55505,49.017342,
Kepler-668 b,11391957,Kepler,CONFIRMED,8.35389523,171.63257,2.2514,1040,2.52,,790,91.9,,,0.023,5592,0.787,,,,,4.582,381.9442708,285.49924,49.277351,
Kepler-669 b,11403044,Kepler,CONFIRMED,4.125543472,169.752585,3.1744,1490,4.43,,1243,565.35,,,0.597,6174,1.103,,,,,4.417,261.2161354,291.93616,49.253979,
Kepler-670 b,11414511,Kepler,CONFIRMED,2.816504904,170.9676846,2.50587,16800,12.21,,1219,521.13,,,0.105,5532,0.955,,,,,4.452,283.1391996,297.01547,49.225288,
K00768.01,11442465,Kepler,FALSE POSITIVE,33.93373447,186.67608,14.561,8500,7.34,,430,8.11,,,0.812,5040,0.705,,,,,4.628,424.6195639,284.17233,49.360722,
Kepler-680 b,12110942,Kepler,CONFIRMED,3.689920099,170.36571,2.6557,427,1.89,,1147,408.99,,,0.151,5880,0.917,,,,,4.518,329.6097122,291.62241,50.61824,
Kepler-232 b,12366084,Kepler,CONFIRMED,4.431238488,171.015,3.15,1010,3.25,,1104,351.23,,,0.405,5714,1.015,,,,,4.428,267.9168325,295.81616,51.121738,
Kepler-232 c,12366084,Kepler,CONFIRMED,11.37936986,133.84992,2.6255,1020,3.95,,806,99.68,,,0.911,5714,1.015,,,,,4.428,267.9168325,295.81616,51.121738,
Kepler-681 b,12404086,Kepler,CONFIRMED,26.39432897,176.05459,3.573,1510,3.07,,489,13.49,,,0.602,5129,0.763,,,,,4.595,393.5500755,289.39972,51.25032,
Kepler-106 c,8395660,Kepler,CONFIRMED,13.57078281,136.279194,3.3539,512,2.64,,785,89.61,,,0.866,5854,1.012,,,,,4.406,254.6830253,300.86398,44.337551,
Kepler-105 c,9579641,Kepler,CONFIRMED,7.12594387,139.00492,3.0014,192,1.79,,997,233.31,,,0.898,5779,1.087,,,,,4.339,218.2729912,287.88733,46.276241,
K00774.01,11656840,Kepler,FALSE POSITIVE,7.442652004,169.9717797,2.3078,24400,15.03,,967,206.78,,,0.137,6108,0.956,,,,,4.469,294.4421634,288.98682,49.733742,
Kepler-52 c,11754553,Kepler,CONFIRMED,16.38489988,172.72782,3.0249,1130,2,,433,8.35,,,0.001,4126,0.615,,,,,4.661,458.1418867,286.73804,49.97575,
Kepler-52 b,11754553,Kepler,CONFIRMED,7.8774163,176.3759,2.0805,1310,2.16,,553,22.18,,,0.041,4126,0.615,,,,,4.661,458.1418867,286.73804,49.97575,
Kepler-52 d,11754553,Kepler,CONFIRMED,36.4454001,151.60125,4.007,1120,1.99,,332,2.88,,,0.028,4126,0.615,,,,,4.661,458.1418867,286.73804,49.97575,
Kepler-673 b,11812062,Kepler,CONFIRMED,3.728732147,171.793255,2.683,5230,6.02,,1023,258.34,,,0.558,5497,0.809,,,,,4.577,377.5721909,290.78574,50.054119,
K00777.01,11818800,Kepler,CANDIDATE,40.4195037,173.56469,3.362,6260,7.51,,467,11.29,,,0.911,5446,0.781,,,,,4.507,321.3660539,294.31686,50.080231,
Kepler-674 b,11853255,Kepler,CONFIRMED,2.243380573,170.679233,1.1196,822,1.99,,822,107.6,,,0.915,4149,0.564,,,,,4.698,498.8844875,285.17621,50.149818,
K00779.01,11909839,Kepler,FALSE POSITIVE,10.40599802,177.197466,6.5036,14500,11.23,,833,113.94,,,0.324,5746,0.924,,,,,4.393,247.1724145,289.23553,50.241001,
Kepler-675 b,11918099,Kepler,CONFIRMED,2.337437946,171.761982,1.9982,971,2.34,,1070,311.16,,,0.28,5005,0.765,,,,,4.595,393.5500755,293.83331,50.23035,
K00780.02,11918099,Kepler,CANDIDATE,7.2406612,137.75545,0.558,556,19.45,,734,68.63,,,1.198,5005,0.765,,,,,4.595,393.5500755,293.83331,50.23035,
K00115.03,9579641,Kepler,CANDIDATE,3.43591631,132.6624,3.133,23.2,0.55,,1272,617.61,,,0.624,5779,1.087,,,,,4.339,218.2729912,287.88733,46.276241,
Kepler-676 b,11923270,Kepler,CONFIRMED,11.59822233,180.395376,2.5237,2800,2.65,,396,5.82,,,0.679,3688,0.473,,,,,4.79,616.5950019,296.22195,50.28722,
Kepler-677 b,11960862,Kepler,CONFIRMED,6.575315881,173.634044,4.3084,2790,5.31,,1015,251.38,,,0.39,5992,0.989,,,,,4.415,260.0159563,290.09805,50.321609,
Kepler-678 b,12020329,Kepler,CONFIRMED,7.275040844,169.994217,7.5377,3000,4.86,,833,113.64,,,0.547,5485,0.867,,,,,4.556,359.7493352,295.45529,50.49456,
Kepler-231 c,12066335,Kepler,CONFIRMED,19.27153892,186.77093,2.7594,1220,1.93,,393,5.66,,,0.031,4077,0.56,,,,,4.702,503.5006088,293.97336,50.53191,
Kepler-231 b,12066335,Kepler,CONFIRMED,10.06524317,136.28906,1.369,1050,1.91,,488,13.43,,,0.628,4077,0.56,,,,,4.702,503.5006088,293.97336,50.53191,
Kepler-679 b,12070811,Kepler,CONFIRMED,12.3935651,178.74725,3.8896,917,2.66,,677,49.68,,,0.883,5557,0.75,,,,,4.603,400.8667176,296.02133,50.56778,
Kepler-106 e,8395660,Kepler,CONFIRMED,43.84439721,151.93538,6.802,615,2.87,,531,18.77,,,0.852,5854,1.012,,,,,4.406,254.6830253,300.86398,44.337551,
K00798.01,3120431,Kepler,FALSE POSITIVE,3.341913228,171.63943,3.813,725,21.55,,1032,268.67,,,1.213,5295,0.811,,,,,4.551,355.6313186,292.31595,38.27029,
K00799.01,3246984,Kepler,FALSE POSITIVE,1.626630225,169.820171,2.1145,1620,32.43,,1547,1355.88,,,1.26,5735,0.973,,,,,4.41,257.0395783,294.36819,38.31028,
Kepler-234 b,3342970,Kepler,CONFIRMED,2.711504086,170.03417,3.0099,838,3.12,,1420,960.79,,,0.023,6214,1.076,,,,,4.442,276.6941645,291.65353,38.494659,
Kepler-234 c,3342970,Kepler,CONFIRMED,7.21203748,172.81782,4.0491,950,3.32,,1025,260.58,,,0.012,6214,1.076,,,,,4.442,276.6941645,291.65353,38.494659,
K00789.01,12459725,Kepler,FALSE POSITIVE,14.1798187,171.50237,2.505,460,1.88,,711,60.35,,,0.1601,5799,0.878,,,,,4.539,345.9393778,291.0448,51.321671,
Kepler-233 b,12470844,Kepler,CONFIRMED,8.47237911,174.16212,2.7245,1120,2.59,,751,75.44,,,0.022,5354,0.788,,,,,4.587,386.3669771,296.36652,51.319519,
Kepler-233 c,12470844,Kepler,CONFIRMED,60.4189369,181.16367,5.039,931,2.36,,390,5.49,,,0.094,5354,0.788,,,,,4.587,386.3669771,296.36652,51.319519,
Kepler-682 b,12644822,Kepler,CONFIRMED,12.61190435,180.892284,5.1497,6110,7.4,,753,76.15,,,0.55,5795,0.919,,,,,4.508,322.1068791,289.11221,51.737381,
K00792.01,2440757,Kepler,FALSE POSITIVE,1.433769925,170.403536,1.8868,1980,46.58,,1920,3209.29,,,1.268,6017,1.339,,,,,4.22,165.9586907,290.84369,37.728828,
K00793.01,2445129,Kepler,FALSE POSITIVE,10.31872301,173.31543,3.836,872,28.59,,876,139.26,,,1.215,5927,1.06,,,,,4.409,256.4484037,291.84891,37.713501,
Kepler-683 b,2713049,Kepler,CONFIRMED,2.539183147,169.67494,2.4282,382,2.06,,1332,743.09,,,0.238,5519,1.062,,,,,4.35,223.8721139,291.43997,37.905659,
Kepler-684 b,3114167,Kepler,CONFIRMED,6.770300385,170.57662,2.0844,1300,2.77,,812,102.87,,,0.838,5653,0.679,,,,,4.656,452.8975799,290.87051,38.273628,
K00796.01,3114661,Kepler,FALSE POSITIVE,0.444291966,169.865406,2.0792,11000,27.51,,1836,2706.26,,,1.258,5255,0.636,,,,,4.678,476.4309868,290.99689,38.28492,
K00797.01,3115833,Kepler,CANDIDATE,10.181584,177.141891,3.5089,5740,7.73,,812,102.91,,,0.92,5988,0.836,,,,,4.541,347.5361614,291.28195,38.241669,
Kepler-235 d,4139816,Kepler,CONFIRMED,20.06036336,147.46554,3.3203,1490,1.96,,361,4,,,0.556,3950,0.493,,,,,4.754,567.5446054,286.07913,39.27832,
Kepler-235 e,4139816,Kepler,CONFIRMED,46.1842039,165.23729,4.758,1390,1.83,,273,1.32,,,0.013,3950,0.493,,,,,4.754,567.5446054,286.07913,39.27832,
Kepler-106 d,8395660,Kepler,CONFIRMED,23.9800854,147.537,5.351,104,1.31,,649,41.94,,,0.95,5854,1.012,,,,,4.406,254.6830253,300.86398,44.337551,
Kepler-235 c,4139816,Kepler,CONFIRMED,7.82502168,136.54995,2.186,521,1.2,,494,14.05,,,0.708,3950,0.493,,,,,4.754,567.5446054,286.07913,39.27832,
Kepler-688 b,4275191,Kepler,CONFIRMED,3.895936525,170.527552,2.3111,8540,7.34,,1005,241.62,,,0.524,5557,0.774,,,,,4.592,390.8408958,294.65524,39.308361,
Kepler-689 b,4476123,Kepler,CONFIRMED,22.36646466,175.45862,5.228,987,2.32,,536,19.45,,,0.4,5395,0.734,,,,,4.615,412.0975191,294.71063,39.52174,
Kepler-685 b,3351888,Kepler,CONFIRMED,1.625522174,170.8266564,2.38963,7970,9.73,,1579,1467.41,,,0.076,5539,1.106,,,,,4.322,209.8939884,293.87192,38.422939,
K00802.01,3453214,Kepler,CANDIDATE,19.62034692,181.881819,2.0038,21700,13.6,,643,40.39,,,0.458,5710,0.905,,,,,4.492,310.4559588,293.81619,38.563568,
K00803.01,3554600,Kepler,FALSE POSITIVE,7.544039,171.7982,6.222,323,17.47,,838,116.46,,,1.175,5657,0.824,,,,,4.567,368.9775986,293.94116,38.601101,
Kepler-1727 b,3641726,Kepler,CONFIRMED,9.02930689,177.20422,3.1449,1020,2.57,,757,77.75,,,0.024,5349,0.82,,,,,4.526,335.7376142,290.33362,38.72823,
K00805.01,3734868,Kepler,FALSE POSITIVE,10.32803571,174.581054,7.7915,16900,13.28,,843,119.31,,,0.281,5627,1.024,,,,,4.359,228.5598803,287.69675,38.886452,
Kepler-30 d,3832474,Kepler,CONFIRMED,143.2063047,154.23552,8.9302,10600,8.9,,308,2.14,,,0.379,5485,0.867,,,,,4.556,359.7493352,285.28363,38.947281,
Kepler-106 b,8395660,Kepler,CONFIRMED,6.164876,135.63916,3.262,55.8,0.79,,1021,256.35,,,0.646,5854,1.012,,,,,4.406,254.6830253,300.86398,44.337551,
Kepler-30 c,3832474,Kepler,CONFIRMED,60.32494216,243.892578,6.6188,20300,12.19,,411,6.77,,,0.224,5485,0.867,,,,,4.556,359.7493352,285.28363,38.947281,
Kepler-30 b,3832474,Kepler,CONFIRMED,29.1598615,150.69922,4.803,488,1.91,,524,17.85,,,0.3619,5485,0.867,,,,,4.556,359.7493352,285.28363,38.947281,
K00807.01,3836375,Kepler,FALSE POSITIVE,1.540397253,170.50479,2.1541,816,25.69,,1470,1105.68,,,1.225,5663,0.915,,,,,4.53,338.8441561,286.92639,38.921631,
K00808.01,3838486,Kepler,FALSE POSITIVE,2.99025443,171.9834,5.414,589,1.7,,918,168.45,,,0.014,4667,0.731,,,,,4.578,378.4425847,287.74881,38.92955,
Kepler-686 b,3935914,Kepler,CONFIRMED,1.594745374,170.6483505,1.9604,15000,11.3,,1539,1329.42,,,0.514,5934,0.893,,,,,4.491,309.7419299,285.21381,39.027481,
Kepler-1728 b,3940418,Kepler,CONFIRMED,4.783002698,170.508434,2.335,1010,2.5,,886,145.48,,,0.003,5170,0.807,,,,,4.574,374.9730022,287.09399,39.060719,
Kepler-687 b,4049131,Kepler,CONFIRMED,20.50588921,181.43428,4.0595,2110,3.41,,518,17.06,,,0.26,4905,0.761,,,,,4.544,349.945167,289.31543,39.153278,
Kepler-235 b,4139816,Kepler,CONFIRMED,3.340218842,171.979062,1.9104,1630,2.03,,656,43.73,,,0.466,3950,0.493,,,,,4.754,567.5446054,286.07913,39.27832,
K00828.01,5287983,Kepler,FALSE POSITIVE,2.507089906,171.002455,2.0067,1340,30.26,,1326,730.47,,,1.255,5926,0.939,,,,,4.506,320.6269325,295.37805,40.493401,
Kepler-53 b,5358241,Kepler,CONFIRMED,18.64932728,174.771,4.4056,894,3.12,,701,57.13,,,0.08,5775,1.053,,,,,4.405,254.0972706,290.46176,40.562462,
Kepler-107 c,10875245,Kepler,CONFIRMED,4.90144976,138.60548,4.1654,141,1.7,,1262,598.74,,,0.529,5847,1.402,,,,,4.191,155.238701,297.02826,48.208611,
Kepler-53 d,5358241,Kepler,CONFIRMED,9.75192101,138.78608,4.793,418,2.76,,870,135.66,,,0.949,5775,1.053,,,,,4.405,254.0972706,290.46176,40.562462,
Kepler-53 c,5358241,Kepler,CONFIRMED,38.5576546,163.85063,5.794,993,4.02,,550,21.71,,,0.911,5775,1.053,,,,,4.405,254.0972706,290.46176,40.562462,
Kepler-428 b,5358624,Kepler,CONFIRMED,3.525632539,170.0479951,2.59959,22300,11.58,,975,213.12,,,0.12,5150,0.793,,,,,4.572,373.2501578,290.58173,40.5774,
K00815.01,4544670,Kepler,CANDIDATE,34.84398644,172.633252,2.9315,4520,7.61,,511,16.1,,,0.934,5509,0.871,,,,,4.482,303.3891184,285.92001,39.624828,
Kepler-690 b,4664847,Kepler,CONFIRMED,7.748094239,174.997206,3.5957,2470,5.52,,964,204.39,,,0.517,5973,1.085,,,,,4.439,274.7894153,294.4899,39.771439,
Kepler-236 c,4725681,Kepler,CONFIRMED,23.96793669,186.22182,3.827,1180,1.8,,329,2.77,,,0.416,3747,0.524,,,,,4.728,534.5643594,283.86639,39.898079,
Kepler-236 b,4725681,Kepler,CONFIRMED,8.29561738,135.79284,1.3421,824,1.82,,469,11.39,,,0.888,3747,0.524,,,,,4.728,534.5643594,283.86639,39.898079,
Kepler-691 b,4913852,Kepler,CONFIRMED,8.11437482,176.33968,2.2736,1560,2.1,,460,10.55,,,0.573,3692,0.517,,,,,4.753,566.239289,288.81201,40.033401,
K00819.01,4932348,Kepler,FALSE POSITIVE,38.03672948,196.934947,4.34617,82900,27.5,,500,14.81,,,0.501,5575,0.932,,,,,4.521,331.8944576,294.14789,40.055538,
K00820.01,4936180,Kepler,CANDIDATE,4.64090031,173.64638,35.512,2450,30.09,,1155,421.08,,,1.28,6463,0.826,,,,,4.5,316.227766,295.11371,40.071171,
K00011.01,11913073,Kepler,FALSE POSITIVE,3.747838198,171.66504,5.0642,616,13.65,,1031,266.76,,,1.121,5514,0.826,,,,,4.569,370.6807218,291.06152,50.265129,
Kepler-107 e,10875245,Kepler,CONFIRMED,14.74914825,138.77799,6.0995,430,2.89,,874,137.91,,,0.173,5847,1.402,,,,,4.191,155.238701,297.02826,48.208611,
Kepler-692 b,5021899,Kepler,CONFIRMED,21.81295996,174.01085,4.3791,1180,3.38,,639,39.33,,,0.053,5601,0.999,,,,,4.41,257.0395783,294.77686,40.15374,
K00822.01,5077629,Kepler,FALSE POSITIVE,7.91936937,172.181092,3.3148,15100,10.34,,814,104,,,0.733,5690,0.776,,,,,4.588,387.2576449,283.53845,40.217999,
K00823.01,5115978,Kepler,CANDIDATE,1.028436523,170.228582,1.8606,8100,72.77,,1947,3400.48,,,1.5734,6228,0.99,,,,,4.428,267.9168325,296.00699,40.295429,
Kepler-693 b,5164255,Kepler,CONFIRMED,15.37562369,173.61402,3.3169,15300,11.01,,600,30.54,,,0.692,4986,0.833,,,,,4.496,313.3285724,283.25354,40.358189,
Kepler-237 c,5252423,Kepler,CONFIRMED,8.10363271,176.9486,3.161,888,2.11,,687,52.82,,,0.047,4861,0.732,,,,,4.574,374.9730022,283.22141,40.421829,
Kepler-237 b,5252423,Kepler,CONFIRMED,4.71510843,134.96178,2.506,418,1.46,,823,108.84,,,0.258,4861,0.732,,,,,4.574,374.9730022,283.22141,40.421829,
Kepler-694 b,5272878,Kepler,CONFIRMED,6.365839713,171.13575,2.9721,781,2.44,,914,165.33,,,0.524,5776,0.849,,,,,4.554,358.0964371,291.14951,40.420521,
K00827.01,5283542,Kepler,FALSE POSITIVE,5.97581754,174.77602,3.065,962,3.86,,1047,284.25,,,0.941,6108,0.997,,,,,4.471,295.8012467,294.22397,40.417858,
K00839.01,5649215,Kepler,FALSE POSITIVE,2.446737317,170.66951,4.7211,1180,26.25,,1261,597.19,,,1.241,5764,0.863,,,,,4.548,353.1831698,298.96112,40.862808,
Kepler-695 b,5651104,Kepler,CONFIRMED,3.04033046,169.9490106,1.8411,10900,8.99,,1021,257.29,,,0.736,5035,0.791,,,,,4.519,330.369541,299.3161,40.82238,
Kepler-27 b,5792202,Kepler,CONFIRMED,15.33528675,174.00278,3.897,3080,5,,610,32.67,,,0.773,5251,0.817,,,,,4.581,381.0658234,292.23676,41.08588,
Kepler-107 d,10875245,Kepler,CONFIRMED,7.95825328,137.80219,4.377,50,1.06,,1074,314.15,,,0.706,5847,1.402,,,,,4.191,155.238701,297.02826,48.208611,
Kepler-27 c,5792202,Kepler,CONFIRMED,31.33046135,153.43031,5.176,5070,6.5,,481,12.61,,,0.798,5251,0.817,,,,,4.581,381.0658234,292.23676,41.08588,
K00831.01,5370302,Kepler,FALSE POSITIVE,3.9043425,173.393734,3.831,16200,12.28,,1104,351.05,,,0.709,5810,0.898,,,,,4.526,335.7376142,294.05676,40.549679,
K00832.01,5372966,Kepler,FALSE POSITIVE,9.286358079,171.8214689,3.49949,44800,17.61,,796,95.03,,,0.377,5670,0.821,,,,,4.523,333.4264128,294.74396,40.53392,
K00833.01,5376067,Kepler,FALSE POSITIVE,3.951405455,173.276125,2.1862,2450,31.44,,1133,388.71,,,1.276,6046,0.869,,,,,4.539,345.9393778,295.50439,40.505489,
Kepler-238 e,5436502,Kepler,CONFIRMED,23.65369415,171.376107,8.2183,3340,7.89,,731,67.65,,,0.008,5739,1.384,,,,,4.191,155.238701,287.89713,40.637821,
Kepler-238 d,5436502,Kepler,CONFIRMED,13.23352214,140.32196,6.7372,505,3.06,,888,146.67,,,0.014,5739,1.384,,,,,4.191,155.238701,287.89713,40.637821,
